ID,MFACTOR,EFACTOR,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,STATUS
231,22,B,3.317,3,3.606,2.646,3.464,2.828,2,3.464,2.646,2.449,3.742,2.646,2.449,2.449,3.742,3,3,3.464,3,3,3,2.236,2.449,2.236,2.236,2.449,2.449,2.646,2.449,2.646,2.449,2.449,2.646,2.449,2.449,2.828,2
232,22,B,1,1.414,1.732,1.732,1,1.414,2.828,5.657,5.196,5.477,5.657,4.123,2.828,2.449,2.449,2.236,2,1.732,2,1.732,1.732,1.732,1.732,1.732,1.732,1.732,1.414,2,1.732,1.732,1,1.414,1.414,1.414,1,1,1
233,22,B,4.123,3.162,3.606,2.828,2.646,2.828,2.236,2.828,2.449,2.236,2.449,2.828,2.646,2.236,3,3.464,3.162,2.646,2.828,2,2.449,2.236,2.236,3.162,2.236,2.236,2.449,2.828,2.449,2.646,3,2.828,3.317,3.162,2.449,2.236,1
234,22,B,4.359,4.796,4.472,4.472,4.69,4.472,5.196,5.831,4.472,6.164,5.916,7.211,4.359,4.583,7.211,6.856,4.69,3.873,4,4.583,4.359,4.796,2.449,4.69,3.742,2.828,2.828,3.162,2.646,4.243,3.464,2.449,2.646,2.449,2.828,2.236,0
235,22,B,2,2.449,2.646,2.646,2.828,2.236,2,2.828,1.732,2.646,2.646,2.449,2.449,2.236,2.646,2.236,2.236,2.236,2.449,2,1.732,2,2.236,2.236,2.646,2.449,2.449,2.449,2.828,2.828,2,1.732,2,2,2,2.236,1
236,22,B,3.873,4.123,3.606,3.742,3.606,3.742,3.464,3.606,3.606,3.464,3.464,3.162,3.606,3.606,3.606,3.464,3.464,3.464,3.464,3.317,3.606,3.464,3.742,3.464,3.742,3.606,3.606,3.873,3.606,3.873,3.742,4,4,4.243,4.123,4.243,0
237,22,B,1.414,1,1,2.449,2.236,3,1.732,2.646,2.236,1.732,2.828,1.732,2.236,2.236,2.449,2,2.236,2,2.236,1.732,2,2,2,1.732,2,2,1.732,2.449,2.449,2,2.449,2.236,2.236,2.646,2.236,2.236,2
238,2,B,1.414,1.732,1.732,1.732,1.732,1.732,1.414,2,2.449,1.732,2,2,1.414,1.414,1.732,1.732,1.414,1.732,1.732,1.414,1.414,1.732,2,1.732,1.732,1.732,1.732,2,1.732,1.414,1.732,1.732,1.732,2,1.732,2,0
239,3,B,1.732,2,1.732,1.732,2,1.414,1.732,1.732,2,1.732,2,2,1.732,2.646,2,2,1.414,1,2.236,2.236,1.732,2.449,1.414,2.236,1.732,1.732,2.236,2.449,1.732,1.414,2,1.732,1.414,1,1.414,1,2
240,22,A,2,2.646,1.732,1.732,2,1.732,1.732,1.732,1.732,2,1.732,1.732,1.732,1.732,1.732,1.732,1.414,1.732,1.732,1.732,1,2,1.414,1.732,1.732,1.732,1.732,1.732,2,1.732,1.732,2,1.732,1.732,1.732,2,2
241,22,B,2,1.732,2,2,2,1.732,2,2.236,2,2,2,2,2,1.732,2.236,1.732,1.732,1.732,1.414,2,2,2,2.236,2.236,2.236,2,2,2.236,2,2,2,2,2,1.732,2,2.236,2
242,2,B,4.123,4.472,5.292,5,4.123,4.123,4.69,4.243,4.583,4.243,4.472,4.243,4.796,4.899,4.472,4.69,5,5.292,5.099,5,5.196,4.472,4.123,5.292,5.196,5,4.899,5.292,5.292,5,5.196,5.568,5.477,5.385,5.477,5.099,0
243,3,A,3.742,4,3.464,4.69,1.414,4.472,4.69,2.236,3.606,4.472,4.69,3.606,4.243,3,4,4.796,3.742,3.742,3.742,4.472,2.449,2.646,3.606,3.162,2.236,3,3.317,2.449,5.292,2.646,3.464,4.123,3.464,3.464,4.359,4.243,1
244,22,B,3.873,4.123,4.359,3.606,3,3.317,3.317,3.317,4.472,2.236,2,3.464,3.742,3.873,4.69,3.464,3.606,3.162,3.464,3.162,3.464,4,3.317,3.162,3.873,3,3,3.464,3.464,4.899,4,3.464,3.162,3.873,3.317,3.873,1
245,22,B,3,2.236,2.449,2.236,2,2.449,2.646,2.646,2.449,2.646,2.449,2.449,2.646,3,2.828,2.828,3,3,2.828,2.646,2.828,2.449,2.646,2.236,2.828,1.414,2.646,2.828,2.449,2.449,2,1.414,3.464,3.606,4.359,3.162,0
246,22,B,3.464,3.464,3.317,3.317,3.317,3.606,3.464,3.873,3.464,3.317,3.162,4.243,1.414,2.449,2.449,2.449,3.162,2.236,2,2,1.732,1.732,2,2,2,2,2,2.236,2.449,1,3.317,3.742,3.742,3.464,3.742,4,2
247,22,B,2,2.449,1,2.236,1.414,3,2.828,2.828,2.828,3,2.828,3.162,2.828,2.449,2.828,3,2.646,3.742,2.449,2.449,2.646,2.646,2.449,2.449,2.646,2.449,3,3.317,3,2,2.236,3,3,2.828,3,2.646,1
248,46,B,1.732,1.732,2,1.732,2,2,2.236,2,2,2,2.449,2.236,2.646,2.449,2.236,2.646,2.449,2.646,2.646,2.828,2.646,2.646,2.449,2.646,2.449,2.646,2.449,2.828,2.646,2.646,3.162,3,2.828,2.646,2.646,2.646,2
249,46,B,3,3,3,2.646,4.899,3,2.646,3,2.828,3.464,2.828,2.828,3,3.162,2.236,2.828,2.646,2.449,2.449,2.646,2.236,2.449,2.236,2.646,2.449,2.236,2.449,2.236,2.236,2,2.236,4.583,4.359,3.464,3.162,1.414,1
250,22,B,2.449,2.646,2.828,2.449,2.646,2.646,2.646,2.646,2,2,2.236,2,2,2,2.449,2.449,2.646,2.449,2.236,2.449,2.449,2.449,2.646,2.449,2.449,2.449,2,2,2.236,2.236,2,2,2.449,3,2.236,1.414,2
251,22,B,5.477,2.236,3.464,3.162,3.742,3.606,3.162,3.606,3,3,2.828,2.646,2.646,2.449,2.828,2.646,3.464,3.606,3.162,2.828,3,3.464,3.464,4.123,3.162,3.464,3.162,3.162,3.742,3.317,3,3.606,3.317,3.162,3.317,2.449,2
252,22,B,3.873,3.873,4.123,4.243,4.583,5,4.359,3.464,3.464,3.317,3.873,3.742,3.742,3.464,4,4.243,4.123,3.742,3.742,3.317,3.162,2.646,2.828,3.317,2.646,2.646,2.646,2.449,3.317,2.449,2.449,2.646,2.646,2.449,2.828,2.828,0
253,22,A,3.162,3.317,3.162,3.317,3.606,4.243,3.873,3.464,3.606,3.873,3.317,3.162,3,3.162,3,3.162,3.464,3.317,2.828,3.162,3.162,3.162,2.828,3,3.464,3.873,4,3.606,3.464,3.464,3.464,3.873,3.873,4.359,4,3.606,1
254,22,A,3.162,3.162,3,3.162,1.414,4.123,3.873,4.583,4.123,4.123,4.123,3.742,3.464,3.464,3.606,3.464,3.606,4,2.236,1.414,1.732,1.414,1.414,1.414,1.414,1.414,1.414,1.414,1.414,1,1.414,1.414,1.414,1.414,1.414,1.732,1
255,22,A,3,2.828,3.162,2.828,2.646,2.449,2.236,2.449,2.449,2.646,2.236,2.449,2.236,2.236,2,2.236,2.236,2.646,2.646,2.449,2.236,2,2.236,2.449,2.236,2,2,2.236,2.449,2.236,2,2.646,2,2.828,2.236,2.646,2
256,22,A,2.646,2.646,2.646,2.236,2.828,2.646,2.449,1.732,2.236,2.236,2,1.732,2.236,1.732,1.414,1.732,2,3.317,2.236,1.732,2.236,2.236,2,1.414,1.732,2.236,2,2.236,2.236,2.236,2.449,2.646,2.236,2,2.236,2,2
257,2,A,2.828,3,2.449,2.236,2.236,2,2,2,2.236,2,2.236,2.236,1.732,3.162,3.162,3.317,3,2.646,3,3.317,2.236,2.646,2.828,2.236,2.449,1.732,2.449,2.236,2.646,2.449,2.236,2.449,1.732,2.236,2.236,2,2
258,22,A,4.899,4.899,5.196,4.123,3.162,5.292,5.196,3.317,2,2.236,2.449,2.236,2.646,2.646,2.828,2,2,2.236,2.646,2.236,2.449,2.449,3.317,3.606,3.606,2.828,2.828,3.317,2.236,2,2.646,2,2.449,2.236,2.828,1.732,1
259,22,B,4.123,4.472,4.359,4.123,4.243,4.472,4.583,4.899,4.69,4.899,4.796,5,5.099,4.899,4.796,4.899,4.69,4.796,5,5.568,3.873,2.646,3.162,2.449,3.317,2.449,3.317,4.472,4,4.243,3.873,3.873,4,4,3.464,3.606,2
260,22,A,3,3,3.317,3,3.317,3.873,3.162,3.606,2.646,1.414,3,2.828,2.828,4,3,3,3.464,2.236,3,3.162,3.162,3,3.162,3.606,3.606,2.646,3.317,3.162,3.317,3,3.606,4.359,2.236,3,2.828,2.449,1
261,47,B,2.646,2.236,2.236,2,1,1.414,1.732,2,1.732,1.732,1.732,2,1.732,2.236,2.236,2,1.732,1.732,1.414,2,2,1.414,1.732,2.236,2,1.732,2.236,2,1.732,2,2,2,2,1.732,2,1.732,0
262,22,B,2.646,2.449,2.828,2.646,2.646,2.449,2.236,2.646,2.449,2.828,2.646,2.449,2.646,2.449,2.449,2.646,2.646,2.449,2.449,2.828,2.828,2.828,2.828,3.317,2.828,3.317,3,3,3.464,3,3,3,3.162,3.162,2.828,3.317,1
263,22,A,1.732,2.236,2.236,2.828,3.464,3.317,2.828,2.449,2.646,2.646,2,2.646,2.646,2.449,2.828,2.828,2.449,3,2.828,2.646,2.646,3,2.828,2.449,2.828,2.449,2.449,2.646,2.646,2.646,2.646,2,1.732,1.414,1.414,1.414,0
264,22,B,2.646,2.646,2.828,2,2.646,2.828,2.646,2.449,2.449,2.646,2.646,2.236,2.449,2.646,2.449,2.449,2.236,2.449,2.449,2.646,2.646,2.236,2.449,2.236,2.449,2.646,2.449,2.449,2.449,2,2.236,2,1,2,2,2,1
265,22,B,5.099,5.568,4.583,5.099,5.568,6.557,4.899,4.69,4.583,5.292,4.359,4.69,4.583,4.69,4.583,4.899,4.472,3.873,3.606,4.123,5.099,5.292,5.385,5.745,6.708,5.745,3.464,4.243,4.583,4.123,4.359,5.099,4.359,4.583,2,4,0
266,22,B,4.243,3.162,2.646,3,3.606,3.162,2.646,2.236,2.646,2.236,2.236,1.732,1.414,2,2,1,1.414,1.414,1.732,1.732,1.414,2,1.732,1.414,1,2.236,2.449,2,2.449,2.646,2,2.646,2.646,2,1.414,1.732,0
267,22,B,4.796,4.899,4.796,4.796,5.385,5.568,5.196,4.899,4.899,4.899,4.899,4.899,4.899,4.796,4.899,4.583,5,5.196,4.796,4.899,1.732,5.099,5.099,5.099,5.099,5,5,5.099,4.359,1,4.359,1,3.606,2.646,2.449,1.732,1
268,22,A,1.732,1.732,1.732,2,2,2,1.732,2.236,1.732,2,1.414,1.732,1.732,1.414,2,2.236,1.414,1.732,2.236,2.236,2,2.236,2,1.732,2.236,2.449,2,2.646,2.236,2,2.236,2,2.449,2.236,2,2,0
269,22,A,3.464,3.873,3.873,3.464,3.464,3.464,2.646,3,2.236,2.449,2.828,2.449,2.828,2.828,2.646,3,2.828,3,3,2.828,3,2.828,3.317,3.162,3.162,2.449,2.646,2.449,2.449,2,1.732,2,1.732,2,1.732,1.732,1
270,22,A,3.742,3.742,4,3.742,2.646,2.449,4.123,4.359,4.472,4,3.873,4.243,4.359,3.873,3.742,4.243,4.243,4,4.123,4.243,4,4.359,5,4.243,4.796,4.123,3.742,4.359,3.873,4.359,4.359,2.828,3,2.828,3.742,3.317,1
271,22,A,2.646,3.873,2.646,3,3,3,2.828,3.162,3.317,3,3,3.162,3.464,3.606,2.236,4,3.162,3.162,3.317,3.873,3.317,2.828,2.828,2.236,2.646,3.162,3.317,3,4.359,4,4.796,4,4,3.742,4.472,4.359,2
272,22,A,2.646,2.828,2.449,2,2,2.646,2.646,3.162,2.646,2.236,2.646,2.449,2.646,3,2.828,2.646,2.828,2.828,2.646,2.646,3.317,2.828,2.828,2.828,2.828,2.828,2.646,3,3,2.828,2.646,2.828,2.828,2.449,2.646,2.646,1
273,22,A,2,1.732,2,1.732,2,2,2,2.236,2,1.414,2,2,2.236,2.236,2,2,2.449,2.236,2.449,2.646,2.449,2.646,2.828,2.828,2.449,2.828,2.828,2.828,2.646,2.828,3.162,3.162,3.162,2.646,2.236,2.449,2
274,22,A,4.583,3.742,3.464,4.796,3.873,5.477,3.742,3.317,5.568,4.69,3.873,3.742,4.359,4.583,5.196,5.568,5,3.606,3.873,3.742,2.646,2.828,2.828,3,3,2.646,3,2.646,3.162,3.742,2.828,2.236,2.236,2,2.646,2.236,1
275,22,A,3.162,3.742,3.606,4.243,4.123,3.606,3.317,3.317,3.317,3,3,3.606,3.464,2.449,3.162,3.606,3,3,2.646,4.472,3.317,3.464,3.162,3.317,2.828,3.317,3.317,3,3.742,2.646,3,2.828,3,3.162,3,2.646,1
276,22,A,2.449,1.732,2.828,1.732,2.828,2,2.236,2.236,2.449,2.236,2.449,2,3.162,1.414,2.646,2.646,3.873,3.873,3.317,2.236,2.449,2.449,3.317,1.732,2.646,2.236,2.449,2.646,1.732,2,2,2.236,2.646,1.414,1.732,2,0
277,22,A,3.162,1,1,1.732,1.732,2,2,2.236,2.236,2,2.646,2.449,3,2,1.414,2,2,2,2.449,2.449,2.828,2.449,2.646,3.162,3,3.162,3,2.449,3.873,2.828,2.828,2.449,2,2,2.236,1.732,2
278,22,A,2.449,2.236,2.449,1.732,2.449,2.236,2.236,2,2.236,2,1.414,1,2,2.236,2.646,2.828,2.236,2.449,2.236,1.732,2.236,1.414,1.414,2.449,2.449,2,2,2.449,2.236,1.732,2,2,1,2.236,2.449,2,0
279,22,A,2.236,2,1.732,1.732,1.414,1,2,2.449,1.732,1.414,1.732,1.732,2.449,2.646,2.449,3.162,3.317,2.828,2.449,3,3,3,4.123,2.828,3.162,3,2.646,1.732,2.236,2.449,3.606,2.646,3.742,2.236,2,1.732,1
280,22,A,3.464,3.606,3.742,3.606,3.873,3.873,3.742,3.317,3,2.646,2.828,2.646,3,3.317,3.606,3.464,3.742,3.606,3.606,3.742,3.873,4.123,4,3.317,4.123,4.123,4.243,4,4,4.359,4.123,3.742,3.464,3.606,3.464,3.317,1
281,22,A,2,2.236,2,2.236,2.236,2,2,2.236,2.236,1.732,2.236,2,2.236,2.236,2,2,2,2,1.732,1.732,2,2,1.732,1.732,1.414,1.732,2,1.732,2,2,1.732,1.732,1.732,1.732,1.732,2,1
282,22,A,2,2.828,1.414,2,1.732,2,1.732,1.732,2.236,2,2,2.236,2.236,1.414,1.732,1.732,2.236,2.236,2.449,2.236,2.449,2.646,2,2,1.732,1.732,2.449,2.449,3,2.236,2.449,1.414,1,1.732,2.236,2,2
283,46,A,2.236,2.449,2.646,2.646,2.449,2.236,2.449,3.742,3,1.732,1.732,2,2,1.732,2,2,2.449,3.317,3.162,3,2.828,2.646,2.828,3,2.828,3.317,3.317,3,2.828,2.828,2.646,2.646,2.646,2.236,2.449,2.449,2
284,3,A,4,3.873,4.123,4,4.583,4.359,4.243,4.243,4.123,4.123,4.243,4.796,4,4,3.317,3.162,2.646,2.828,3,2.449,2.449,2.449,2.646,2.449,2.449,2.646,2.646,3,3.162,3.162,3.317,3,2.828,2.828,2.646,3,2
285,22,A,4.899,4.359,4.472,4.472,4.472,4.359,4.583,4.472,4.69,4.472,4.472,4.69,4.69,4.69,4.472,4.69,4.123,5.099,4.796,5.385,5.196,4.796,3.742,4.123,3.317,3.162,4,3.742,4,3.464,3.742,3.464,3.464,3.317,3.317,4.243,2
286,22,A,3.162,2.236,2.236,2.236,2.449,2.449,2.236,1.732,2.236,2.449,2,2.449,2.449,3.317,2.449,1,2.828,2.236,2.449,2.236,1.732,2.236,2.646,2.449,2.449,2.828,2.449,2.236,2.828,2.449,2.646,2.646,2.449,2.646,2.646,2.236,1
287,22,A,4.123,4.243,4.583,4.123,3.742,3.742,4.123,3.873,3.873,3.606,3.606,4.123,4.583,4.69,4.359,4.123,4.243,4.123,4,4.243,4.472,4.243,4.472,4.359,4.69,4.69,5.099,5.292,5.385,5.292,5.099,4.796,4.69,4.243,2.449,3,2
288,46,A,2,2.828,3,3,3.162,2.646,1.414,2.646,2.449,2.646,2.646,5.292,2.646,2.828,2.828,2.646,2.449,2.828,2.449,2.828,2.646,2.828,2.236,2.449,3.464,4.583,3,3.464,2,3,3.873,3.464,2.646,3.464,2.828,2.646,2
289,3,A,3,3,2.646,3.317,3.162,3,3.162,3,3.162,1.732,1,1,1,1,1.414,1.732,1,1.732,1.414,2,1.732,3,2.828,2,3,2.449,2.828,2,2,2,1.414,3.162,2.646,3,4.359,5.477,2
290,22,A,2.828,2.646,2.646,2.828,3.317,3.742,4.123,5.099,3.162,2.236,2,3,2.449,3,3.464,2.828,3.606,3.464,3.464,3.742,3.317,5.099,3.742,3.317,3.606,3.464,4.359,3.606,3.162,2.646,1.732,4.583,4.583,4.123,4.359,3.464,1
291,22,A,1.414,1.414,1.732,1.732,1.732,1.732,1.732,1.732,1.732,1.732,1.732,1.732,1.732,1.732,1.732,1.732,1.732,1.732,1.732,1.732,1.732,1.732,2,1.732,2.236,2,2.236,2.236,2.236,1.414,1.732,1.414,1.732,1.414,1.732,1.414,1
292,3,A,3,2.828,3.317,3.317,3.464,4.583,3.606,3.464,3.464,2.828,2.828,2.828,3.162,2.828,2.828,2.236,3.162,3.162,2.646,2.828,3.162,2.828,2.828,2.646,1.414,2.449,3,3,3.317,2.449,2.646,2.236,2.449,1.732,1.414,2.449,0
293,22,A,2.236,2.449,2.449,2.236,2,1.732,2,1.414,1.414,1.414,1,1,1,1.414,1,1.414,1,1.414,1,1.414,1,1.414,1,1.414,1.414,1.414,1.414,1.414,4.243,4.583,3.162,2.236,1.414,1.414,2.646,1.732,2
294,22,A,1.732,1.732,2,1.732,1.414,1,1.414,1,1.414,1,1,1.414,1,1,1.414,1,1.414,1.732,1.414,1.414,2.449,1.732,1,1.414,1,1,1.414,1.414,2,1.732,1,2,1.732,1.414,1.414,1.732,1
295,22,A,4,3.464,3.317,3.317,5.385,3.742,3.317,3.464,3.873,4,4.796,3.317,3.606,3.464,3.317,2.449,3.873,4.472,4,2.236,2.828,4.583,4.243,3.606,5.292,3.162,2.646,3.162,3.606,2.828,3,3,2.828,3.317,3.742,3.162,0
296,22,A,2.828,1,2.449,2.449,2.828,2.828,2.449,1,3,2.646,2.646,2.449,2.449,2.449,2.236,2.236,1.732,2.236,2.449,2,2,2,2.236,2.236,2.449,1.732,2,1,1.414,1.732,2,1,1.732,1.414,2,2.236,1
297,22,A,2.828,3.162,2.828,3,2.828,3.464,3.742,4.359,3.162,3.162,3.162,3.162,3.162,3.464,3.464,3.317,3.317,3.317,3.162,3.317,3.464,3.317,3.606,3.162,2.828,3,3.162,3.162,3.464,3.464,3,2,2,2,2,1.732,1
298,22,A,3.742,5.196,5.477,4.243,3.606,3.873,4.796,4.123,3,1,1,3.162,2,2.236,2.236,2.236,2.646,2.646,2.828,2.449,3,3.742,2.646,2.646,3.162,2.828,2.646,2.646,2.828,2.646,2.828,2.828,2.828,3,1.732,3,1
299,22,A,3,3.162,3.317,3.162,3.162,3.317,2.828,3,3,3,3,2.828,2.646,2.646,2.236,3.464,3.317,2.236,2,2.236,2.449,2.236,2.236,2.236,1,2,2,1.414,2,2,1,2.828,2.236,2.449,2.449,1.414,1
300,22,A,4.472,4.69,4.583,4.583,5.196,4.123,3.606,3.464,3.606,4.123,3.464,1,4.472,4.359,4.123,4.243,4,4.359,4.243,4.359,4,4.243,4.472,4.796,4.123,4,3.464,3.162,3.464,4.472,4.123,5.292,4.69,4.359,3.606,1.414,0
301,22,A,5.745,3.162,2.236,2.236,2.449,2.449,2.236,2.646,2.449,2.646,2.646,2.449,2.646,2.646,2.449,2.449,2.449,3,2.646,2.646,2.828,2.646,2.646,2.828,2.828,2.646,3,2.646,2.646,3,3,3,3,2.828,2.646,2.828,1
302,22,A,2,2,2.449,2.449,1.732,1.732,1.732,1.414,1,2.449,1.414,1.732,1,2.449,1.414,1.732,2.646,2,2.236,2,2.449,2,3,2,2.236,2.646,1.732,2.449,2,2.236,2.449,1.732,2.646,2,1.414,1.732,0
303,22,A,2,2,2.236,1.732,1.732,1.732,2.236,1.732,1.732,1.414,1.732,1.732,1.732,1.732,1.732,1.732,1.732,2,1.732,2,1.414,1.732,1.732,1.732,1.732,1.732,1.732,1.732,2,1.732,1.732,1.732,1.732,1.732,1,1.414,1
304,22,A,1.732,1.732,1.732,1.732,1.732,1.732,1.732,2,2.449,2.236,2,2,1.732,2,2,2,2.236,2,2,2,2,2.236,2,2,2,2,2,2,2,2,2,2,2,2,2,2.449,2
305,22,A,2,2,2.236,2.236,2,2.236,2,3,1.732,2,2,2,2,2,2.828,3,3,3.317,3.464,3.742,3.606,4.123,3.873,4.243,4.123,4.123,4.472,3.742,3.606,4,3.873,4,4.123,3.162,3,3,1
306,47,C,2.449,2.828,2.828,2.449,2.646,2.449,2.236,2.646,3.742,3.317,3.464,3.464,3.317,3.162,3.464,3.162,3.317,3.317,3.606,3.317,3.606,3.606,3.162,3.606,3.464,3.464,3.317,3.317,3.317,3.742,3.606,3.742,3.742,3.606,3.317,3.317,2
307,22,A,3.873,4,4,4.243,4.243,4.243,4.359,4.359,4.583,4.899,4.472,4.243,3.873,4.123,4.123,4.359,4.123,4.243,4.243,4.69,4.899,4.899,4.69,4.243,4.243,2.828,2.449,2.449,2.236,2.646,2.236,2.236,2.449,2.449,2.236,2.236,0
308,22,B,3,3,2,4.359,2.828,3.317,2.646,2.828,2.236,2.828,2.236,2.828,2.828,2.449,1.414,3.464,2.236,2.646,2.236,1.732,1.732,2.236,3.162,1.414,1.414,1,1,1.414,1.414,1,1.414,1.732,1.414,1,1,1.414,0
309,22,B,3.606,3.162,3.162,2.828,3,2.828,3,3.464,3.606,3.742,4,3,3.464,3,3.317,2.646,2.646,2.828,2.828,2.828,2.828,3.317,2.828,3,2.828,3.162,2.828,2.646,3,2.828,3.317,2.828,3,2.828,2.828,3,0
310,22,B,1.414,2,1.414,1,1.414,1,1.732,3.873,5.568,6.083,4.359,5.568,6.083,5.657,5.099,6.083,6.856,6.325,5.099,5.477,5.292,5.292,6.481,7.874,7.348,7.141,6.856,7.141,6.325,6.928,9.695,6.164,7.28,10.583,9.381,5.568,0
